Snapshot,Max,Avg,Min
0,10,6.28,0
1,10,4.48,0
2,10,4.46,0
3,10,2.78,0
4,10,4.46,0
5,10,3.6,0
6,10,4.44,0
7,10,4.56,0
8,10,5.42,0
9,10,3.56,0
10,10,5.4,0
11,10,7.14,0
12,9,4.44,0
13,10,4.48,0
14,10,3.64,0
15,10,5.34,0
16,10,5.34,0
17,10,2.72,0
18,10,2.78,0
19,10,5.3,0
20,10,5.46,0
21,10,5.32,0
22,10,4.54,0
23,10,2.76,0
24,10,2.72,0
25,10,4.5,0
26,10,1.86,0
27,10,5.36,0
28,10,3.62,0
29,10,3.64,0
30,10,7.08,0
31,10,5.36,0
32,10,3.62,0
33,10,7.08,0
34,10,3.56,0
35,10,7.16,0
36,10,3.58,0
37,10,4.5,0
38,10,7.14,0
39,10,6.3,0
40,10,5.34,0
41,10,3.58,0
42,10,4.46,0
43,10,6.3,0
44,9,2.7,0
45,10,3.64,0
46,10,3.64,0
47,10,4.5,0
48,10,3.58,0
49,10,4.48,0
50,10,6.26,0
51,10,2.78,0
52,10,3.64,0
53,10,5.4,0
54,10,3.64,0
55,10,6.28,0
56,10,4.52,0
57,10,5.42,0
58,10,5.4,0
59,10,6.28,0
60,10,3.62,0
61,10,3.62,0
62,10,2.7,0
63,10,4.58,0
64,10,4.48,0
65,10,5.38,0
66,10,6.28,0
67,10,7.14,0
68,10,5.4,0
69,10,5.42,0
70,10,3.62,0
71,10,1.86,0
72,10,5.34,0
73,10,8.04,0
74,10,7.16,0
75,9,0.98,0
76,10,4.46,0
77,10,5.42,0
78,10,2.74,0
79,10,3.58,0
80,10,5.38,0
81,10,4.52,0
82,10,4.52,0
83,10,7.08,0
84,10,4.46,0
85,10,2.78,0
86,10,5.42,0
87,10,5.38,0
88,10,5.38,0
89,9,3.6,0
90,10,6.28,0
91,10,4.54,0
92,9,3.54,0
93,10,5.38,0
94,10,3.6,0
95,10,7.12,0
96,10,3.64,0
97,10,5.4,0
98,10,6.22,0
99,10,4.5,0
