Snapshot,Count
0,314
1,224
2,223
3,139
4,223
5,180
6,222
7,228
8,271
9,178
10,270
11,357
12,222
13,224
14,182
15,267
16,267
17,136
18,139
19,265
20,273
21,266
22,227
23,138
24,136
25,225
26,93
27,268
28,181
29,182
30,354
31,268
32,181
33,354
34,178
35,358
36,179
37,225
38,357
39,315
40,267
41,179
42,223
43,315
44,135
45,182
46,182
47,225
48,179
49,224
50,313
51,139
52,182
53,270
54,182
55,314
56,226
57,271
58,270
59,314
60,181
61,181
62,135
63,229
64,224
65,269
66,314
67,357
68,270
69,271
70,181
71,93
72,267
73,402
74,358
75,49
76,223
77,271
78,137
79,179
80,269
81,226
82,226
83,354
84,223
85,139
86,271
87,269
88,269
89,180
90,314
91,227
92,177
93,269
94,180
95,356
96,182
97,270
98,311
99,225
